Intensitas_Belajar,Fokus_Belajar,Disiplin_Belajar,Interaksi_Belajar,Teknologi,Lingkungan_Belajar,Waktu_Efektif,Gaya_Belajar
Tinggi,Tinggi,Tinggi,Tinggi,Sedang,Tinggi,Siang,Visual
Tinggi,Tinggi,Tinggi,Sedang,Sedang,Sedang,Pagi,Auditori
Rendah,Tinggi,Rendah,Sedang,Tinggi,Rendah,Malam,Auditori
Tinggi,Tinggi,Tinggi,Sedang,Sedang,Sedang,Pagi,Auditori
Sedang,Sedang,Sedang,Sedang,Tinggi,Sedang,Pagi,Visual
Sedang,Sedang,Sedang,Sedang,Tinggi,Sedang,Malam,Visual
Sedang,Sedang,Sedang,Sedang,Sedang,Sedang,Malam,Visual
Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Pagi,Visual
Rendah,Tinggi,Rendah,Rendah,Tinggi,Sedang,Siang,Kinestetik
Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Pagi,Visual
Rendah,Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Siang,Visual
Rendah,Rendah,Rendah,Rendah,Rendah,Rendah,Siang,Visual
Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Pagi,Visual
Tinggi,Tinggi,Tinggi,Sedang,Sedang,Sedang,Malam,Auditori
Tinggi,Tinggi,Tinggi,Sedang,Sedang,Sedang,Malam,Auditori
Rendah,Sedang,Sedang,Sedang,Sedang,Sedang,Malam,Visual
Rendah,Tinggi,Rendah,Rendah,Tinggi,Sedang,Siang,Kinestetik
Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Pagi,Visual
Tinggi,Tinggi,Tinggi,Tinggi,Sedang,Tinggi,Malam,Visual
Tinggi,Tinggi,Tinggi,Sedang,Sedang,Sedang,Pagi,Auditori
Tinggi,Tinggi,Tinggi,Sedang,Sedang,Sedang,Malam,Auditori
Sedang,Rendah,Sedang,Sedang,Tinggi,Sedang,Pagi,Visual
Sedang,Sedang,Tinggi,Rendah,Sedang,Tinggi,Malam,Visual
Rendah,Rendah,Rendah,Rendah,Rendah,Rendah,Siang,Kinestetik
Rendah,Tinggi,Rendah,Rendah,Tinggi,Sedang,Siang,Kinestetik
Tinggi,Sedang,Rendah,Rendah,Sedang,Tinggi,Siang,Visual
Tinggi,Tinggi,Tinggi,Sedang,Sedang,Sedang,Siang,Auditori
Sedang,Tinggi,Tinggi,Sedang,Tinggi,Rendah,Pagi,Visual
Tinggi,Sedang,Tinggi,Tinggi,Sedang,Tinggi,Pagi,Visual
Tinggi,Sedang,Tinggi,Tinggi,Rendah,Tinggi,Siang,Visual
Tinggi,Tinggi,Tinggi,Sedang,Sedang,Sedang,Pagi,Auditori
Tinggi,Tinggi,Tinggi,Sedang,Sedang,Sedang,Malam,Auditori
Tinggi,Tinggi,Sedang,Tinggi,Tinggi,Rendah,Malam,Visual
Sedang,Tinggi,Tinggi,Sedang,Rendah,Sedang,Siang,Visual
Rendah,Tinggi,Sedang,Sedang,Tinggi,Sedang,Malam,Auditori
Tinggi,Tinggi,Sedang,Sedang,Rendah,Sedang,Siang,Visual
Rendah,Tinggi,Sedang,Tinggi,Sedang,Tinggi,Pagi,Visual
Tinggi,Sedang,Tinggi,Rendah,Tinggi,Sedang,Siang,Visual
Rendah,Tinggi,Rendah,Rendah,Tinggi,Sedang,Siang,Kinestetik
Tinggi,Tinggi,Tinggi,Sedang,Sedang,Sedang,Malam,Auditori
Tinggi,Tinggi,Tinggi,Sedang,Sedang,Sedang,Malam,Auditori
Tinggi,Tinggi,Tinggi,Sedang,Sedang,Sedang,Siang,Auditori
Tinggi,Tinggi,Tinggi,Sedang,Sedang,Sedang,Malam,Auditori
Rendah,Tinggi,Rendah,Rendah,Tinggi,Sedang,Siang,Kinestetik
Tinggi,Sedang,Tinggi,Rendah,Tinggi,Sedang,Pagi,Visual
Rendah,Tinggi,Sedang,Tinggi,Sedang,Sedang,Malam,Visual
Tinggi,Tinggi,Tinggi,Sedang,Sedang,Sedang,Siang,Auditori
Sedang,Tinggi,Sedang,Sedang,Tinggi,Tinggi,Siang,Visual
Tinggi,Sedang,Sedang,Tinggi,Sedang,Rendah,Pagi,Visual
Sedang,Rendah,Rendah,Tinggi,Tinggi,Rendah,Malam,Auditori
Rendah,Tinggi,Rendah,Rendah,Tinggi,Sedang,Siang,Kinestetik
Rendah,Tinggi,Rendah,Tinggi,Tinggi,Tinggi,Malam,Visual
Sedang,Sedang,Rendah,Sedang,Sedang,Sedang,Siang,Auditori
Sedang,Tinggi,Sedang,Sedang,Rendah,Sedang,Siang,Visual
Tinggi,Tinggi,Sedang,Tinggi,Sedang,Tinggi,Malam,Visual
Sedang,Tinggi,Sedang,Sedang,Tinggi,Sedang,Malam,Visual
Tinggi,Tinggi,Tinggi,Sedang,Sedang,Sedang,Siang,Auditori
Tinggi,Tinggi,Tinggi,Sedang,Sedang,Sedang,Siang,Auditori
Tinggi,Tinggi,Tinggi,Sedang,Sedang,Sedang,Siang,Auditori
Sedang,Rendah,Rendah,Sedang,Rendah,Sedang,Pagi,Visual
Sedang,Sedang,Sedang,Sedang,Tinggi,Tinggi,Pagi,Visual
Rendah,Tinggi,Rendah,Sedang,Rendah,Sedang,Malam,Kinestetik
Tinggi,Sedang,Rendah,Sedang,Rendah,Tinggi,Pagi,Visual
Sedang,Rendah,Rendah,Sedang,Tinggi,Sedang,Pagi,Visual
Rendah,Tinggi,Rendah,Rendah,Tinggi,Sedang,Malam,Kinestetik
Tinggi,Tinggi,Rendah,Rendah,Sedang,Sedang,Pagi,Visual
Sedang,Tinggi,Sedang,Rendah,Rendah,Tinggi,Siang,Visual
Tinggi,Tinggi,Tinggi,Sedang,Sedang,Sedang,Malam,Auditori
Tinggi,Tinggi,Tinggi,Sedang,Sedang,Sedang,Malam,Auditori
Tinggi,Tinggi,Tinggi,Sedang,Sedang,Sedang,Pagi,Auditori
Tinggi,Tinggi,Tinggi,Tinggi,Sedang,Tinggi,Siang,Visual
Tinggi,Sedang,Tinggi,Tinggi,Tinggi,Tinggi,Pagi,Visual
Tinggi,Tinggi,Tinggi,Sedang,Tinggi,Tinggi,Pagi,Visual
Tinggi,Tinggi,Sedang,Tinggi,Tinggi,Sedang,Pagi,Auditori
Sedang,Rendah,Sedang,Tinggi,Tinggi,Tinggi,Siang,Visual
Sedang,Rendah,Sedang,Rendah,Tinggi,Sedang,Siang,Visual
Rendah,Tinggi,Rendah,Rendah,Tinggi,Sedang,Siang,Kinestetik
Tinggi,Tinggi,Sedang,Tinggi,Sedang,Sedang,Pagi,Visual
Rendah,Tinggi,Rendah,Rendah,Tinggi,Sedang,Pagi,Kinestetik
Tinggi,Tinggi,Tinggi,Sedang,Sedang,Sedang,Malam,Auditori
Tinggi,Tinggi,Tinggi,Tinggi,Sedang,Tinggi,Malam,Visual
Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Malam,Visual
Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Pagi,Visual
Tinggi,Tinggi,Tinggi,Sedang,Sedang,Sedang,Malam,Auditori
Tinggi,Tinggi,Tinggi,Sedang,Sedang,Sedang,Siang,Auditori
Tinggi,Tinggi,Tinggi,Sedang,Sedang,Sedang,Malam,Auditori
Tinggi,Tinggi,Tinggi,Sedang,Sedang,Sedang,Malam,Auditori
Rendah,Tinggi,Tinggi,Sedang,Rendah,Sedang,Siang,Visual
Tinggi,Tinggi,Tinggi,Sedang,Sedang,Sedang,Malam,Auditori
